invoice_ref,vendor_id,customer_id,company_code,invoice_date,posting_date,baseline_date,currency,gross_amount,tax_amount,tax_code,gl_account,cost_centre,profit_centre,payment_terms,reference,header_text,assignment,item_text
INV-2026-04359,V1018,C2004,3000,2026-01-02,2026-01-04,2026-01-02,AUD,60638.11,6063.81,V3,400500,CC1020,PC2003,ZN14,PO-85536,"Office supplies",MAINT-Q1,"One-time purchase"
INV-2025-04360,V1019,C2011,3000,2025-08-15,2025-08-17,2025-08-16,CAD,496740.78,0.00,V0,500300,CC1020,PC2003,ZN90,PO-99909,"Temporary staffing",MAINT-Q2,"Full delivery"
INV-2025-04361,VXXX,C2007,1000,2025-01-09,2025-01-10,2025-01-09,CAD,89089.61,13363.44,A2,700200,CC_INVALID,PC4000,ZN90,PO-89781,"Waste disposal",PROJECT-EPSILON,"Credit note adjustment"
INV-2025-04362,V1002,C2011,1000,2025-05-23,2025-05-26,2025-05-25,GBP,19858.40,1390.09,V1,400300,CC2020,PC2001,ZN60,PO-82033,"Energy costs",R&D-PHASE1,"Standard order"
INV-2025-04363,V1007,C2003,2000,2025-05-23,2025-05-28,2025-05-24,EUR,225828.23,15807.98,V3,500300,CC1030,PC2000,ZN90,PO-81686,"Network infrastructure",MAINT-Q4,"Progress billing"
INV-2025-04364,V1019,C2008,3000,2025-03-28,2025-04-01,2025-03-29,SGD,139914.92,13991.49,V3,400500,CC2020,PC4000,ZN45,PO-81976,"Vehicle leasing",HR-ONBOARD,"Standard order"
INV-2025-04365,V1008,C2011,2000,2025-01-12,2025-01-17,2025-01-13,GBP,242228.53,48445.71,V3,700200,CC1030,PC2000,ZB01,PO-89995,"Pest control",FACILITIES,"Quarterly invoice"
INV-2026-04366,V1002,C2001,3000,2026-02-11,2026-02-16,2026-02-14,GBP,166546.94,0.00,V0,600200,CC3020,PC4000,ZN60,PO-83792,"Cloud hosting fees",PROJECT-DELTA,"One-time purchase"
INV-2025-04367,V1001,C2004,1000,2025-11-12,2025-11-12,2025-11-12,USD,157775.68,11044.30,V3,700100,CC2020,PC2000,ZN90,PO-85785,"Contractor payments",CAPEX-2026,"Volume discount"
INV-2025-04368,V1014,C2009,1000,2025-12-03,2025-12-07,2025-12-03,SGD,404358.27,80871.65,V3,600100,CC1010,,,PO-87313,"Legal advisory 2025-12",R&D-PHASE2,"Late delivery penalty"
INV-2025-04369,V1014,C2014,4000,2025-12-16,2025-12-17,2025-12-19,EUR,300342.81,45051.42,V2,500100,CC2030,PC3000,ZN45,PO-92086,"Cleaning services 2025-12",MAINT-Q3,"Debit note"
INV-2025-04370,V1016,C2001,4000,2025-07-07,2025-07-07,2025-07-09,AUD,297074.77,44561.22,V1,600100,CC3020,PC4000,ZN45,PO-98792,"Marketing materials",MAINT-Q3,"Emergency repair"
INV-2025-04371,V1008,C2009,3000,2025-10-13,2025-10-18,2025-10-16,CAD,85381.37,5976.70,V2,400200,CC3020,PC2001,ZN14,PO-80710,"Temporary staffing",CAPEX-2026,"Credit note adjustment"
INV-2025-04372,V1015,C2012,4000,2025-06-17,2025-06-18,2025-06-19,EUR,289688.06,0.00,V0,400300,CC2030,,ZN90,PO-91701,"Data centre costs",PROJECT-ZETA,"Quality inspection"
INV-2025-04373,V1012,C2001,3000,2025-08-22,2025-08-25,2025-08-24,SGD,115528.78,5776.44,A1,400500,CC2020,PC2000,ZB02,PO-85121,"Annual licence renewal",OPEX-2026,"Service completion"
INV-2025-04374,V1015,C2013,1000,2025-04-19,2025-04-19,2025-04-20,JPY,362129.11,25349.04,A1,500200,CC1040,PC2003,ZB01,PO-86714,"Professional services",PROJECT-DELTA,"Final settlement"
INV-2026-04375,V1014,C2010,3000,2026-01-15,2026-01-18,2026-01-17,GBP,148355.56,7417.78,A1,400500,CC1020,PC2000,ZN30,PO-99111,"Landscaping",PROJECT-EPSILON,"Commission payment"
INV-2025-04376,V1008,C2004,1000,2025-10-13,2025-10-13,2025-10-16,JPY,406248.89,0.00,V0,500200,CC2020,PC3001,ZN90,,"Subscription fees",FACILITIES,"Early payment discount"
INV-2025-04377,V1012,C2001,3000,2025-03-18,2025-03-20,2025-03-18,EUR,426191.42,0.00,V0,700200,CC2020,PC2001,ZN60,PO-93794,"Waste disposal",MKT-CAMPAIGN,"Final settlement"
INV-2025-04378,V1016,C2014,2000,2025-11-07,2025-11-07,2025-11-10,AUD,134029.31,0.00,V0,500200,CC2020,PC2003,ZN14,PO-96533,"Office supplies 2025-11",MAINT-Q3,"Partial delivery"
INV-2025-04379,V1009,C2015,4000,2025-12-01,2025-12-01,2025-12-01,GBP,409366.18,0.00,V0,500300,CC1040,PC4000,ZN14,,"Travel expenses",MAINT-Q4,"Retainer fee"
INV-2025-04380,V1004,C2009,1000,2025-04-21,2025-04-23,2025-04-23,SGD,34180.72,2392.65,V3,500100,CC1040,PC4000,ZB01,PO-91080,"Vehicle leasing 2025-04",IT-REFRESH,"Final settlement"
INV-2025-04381,V1013,C2012,2000,2025-01-21,2025-01-24,2025-01-22,USD,313638.69,31363.87,V2,700200,CC3020,PC2000,ZN30,PO-85439,"Printing costs 2025-01",PROJECT-BETA,"Progress billing"
INV-2025-04382,V1003,C2008,4000,2025-02-24,2025-02-28,2025-02-24,EUR,284712.53,19929.88,A2,400300,CC2030,PC3001,ZN30,PO-93655,"Cloud hosting fees 2025-02",R&D-PHASE2,"Credit note adjustment"
INV-2026-04383,V1016,C2008,2000,2026-01-24,2026-01-29,2026-01-26,AUD,451947.11,0.00,V0,400200,CC1030,PC3001,,PO-84529,"Server equipment 2026-01",IT-REFRESH,"Advance payment"
INV-2025-04384,V1011,C2010,1000,2025-09-15,2025-09-20,2025-09-16,CHF,393195.43,39319.54,V1,700200,CC3010,PC2002,ZN14,PO-99806,"HVAC maintenance 2025-09",PROJECT-GAMMA,"Debit note"
INV-2025-04385,V1009,C2005,2000,2025-07-11,2025-07-14,2025-07-13,SGD,97520.97,0.00,V0,600200,CC1030,PC3000,ZB01,PO-93112,"Annual licence renewal",MAINT-Q2,"Emergency repair"
INV-2025-04386,V1019,C2014,1000,2025-10-12,2025-10-12,2025-10-13,JPY,308063.74,21564.46,V3,600100,CC1010,PC3000,ZB01,PO-91542,"HVAC maintenance",PROJECT-BETA,"Commission payment"
INV-2025-04387,V1006,C2015,1000,2025-06-17,2025-06-22,2025-06-17,AUD,252161.93,12608.10,V1,400400,CC1010,PC2001,ZB01,PO-81862,"Subscription fees 2025-06",R&D-PHASE1,"Rework charges"
INV-2025-04388,V1016,C2006,3000,2025-07-07,2025-07-11,2025-07-08,CHF,484536.54,72680.48,V3,400300,CC2010,,ZN45,PO-99164,"Network infrastructure 2025-07",MAINT-Q4,"One-time purchase"
INV-2025-04389,V1008,C2012,1000,2025-05-27,2025-05-27,2025-05-28,USD,84721.63,0.00,V0,400100,CC1050,PC4000,ZN30,PO-90740,"Office supplies 2025-05",MAINT-Q2,"Rework charges"
INV-2025-04390,V1020,C2009,1000,2025-02-15,2025-02-19,2025-02-15,JPY,87364.07,17472.81,V3,500300,CC1040,PC3001,ZN60,PO-97187,"Temporary staffing",HR-ONBOARD,"Final settlement"
INV-2026-04391,V1003,C2007,4000,2026-01-28,2026-01-30,2026-01-30,USD,8743.30,1748.66,A1,700100,CC3020,PC4000,ZN90,PO-84527,"HVAC maintenance",MAINT-Q2,"Standard order"
INV-2026-04392,V1018,C2008,4000,2026-01-19,2026-01-24,2026-01-19,JPY,141996.40,0.00,V0,400400,CC2030,PC3001,ZB02,PO-98527,"Lab equipment",MAINT-Q3,"Ad-hoc request"
INV-2026-04393,V1014,C2007,3000,2026-03-23,2026-03-28,2026-03-25,JPY,225573.64,45114.73,A2,500200,CC3010,PC2003,ZN90,,"Cleaning services",MKT-CAMPAIGN,"Rebate claim"
INV-2025-04394,V1018,C2007,2000,2025-02-01,2025-02-05,2025-02-01,AUD,228366.11,0.00,V0,400500,CC2010,PC2003,ZB01,PO-91600,"Professional services",PROJECT-THETA,"Service completion"
INV-2025-04395,V1012,C2007,1000,2025-09-22,2025-09-22,2025-09-22,SGD,259381.73,0.00,V0,500100,CC3010,PC2003,ZN45,PO-99363,"Insurance premium 2025-09",MKT-CAMPAIGN,"Credit note adjustment"
INV-2025-04396,V1003,C2012,2000,2025-06-04,2025-06-09,2025-06-07,USD,117177.87,23435.57,A2,400400,CC1020,PC2003,ZN60,PO-96329,"Recruitment costs",MAINT-Q1,"Monthly service fee"
INV-2025-04397,V1019,C2011,2000,2025-02-27,2025-02-27,2025-03-02,AUD,363440.55,25440.84,V1,600200,CC1040,PC3001,,PO-80910,"Security services 2025-02",HR-ONBOARD,"Ad-hoc request"
INV-2026-04398,V1007,C2012,4000,2026-01-19,2026-01-24,2026-01-20,JPY,79257.89,0.00,V0,500300,CC2030,PC4000,ZN60,,"Lab equipment",PROJECT-ETA,"Ad-hoc request"
INV-2025-04399,V1002,C2004,4000,2025-04-19,2025-04-24,2025-04-20,USD,454371.69,31806.02,A1,500200,CC2020,PC3001,ZB02,PO-96230,"Staff training",PROJECT-GAMMA,"Commission payment"
INV-2025-04400,V1009,C2005,4000,2025-06-25,2025-06-29,2025-06-27,AUD,274574.94,19220.25,V3,600200,CC1050,PC3001,,PO-92984,"Energy costs",MAINT-Q2,"Final settlement"
INV-2025-04401,V1015,C2011,1000,2025-05-26,2025-05-28,2025-05-27,EUR,206069.68,0.00,V0,600200,CC2010,PC3000,ZB01,PO-97591,"Hardware procurement",IT-REFRESH,"Quality inspection"
INV-2025-04402,V1011,C2006,4000,2025-02-01,2025-02-05,2025-02-02,JPY,123469.99,24694.00,V3,700100,CC2030,PC2003,ZB02,PO-80143,"Landscaping",R&D-PHASE1,"Service completion"
INV-2025-04403,V1007,C2014,3000,2025-09-19,2025-09-24,2025-09-22,EUR,407200.25,0.00,V0,500200,CC2010,PC2000,ZN45,PO-97369,"Audit fees",FACILITIES,"Quality inspection"
INV-2026-04404,V1002,C2010,4000,2026-02-04,2026-02-07,2026-02-04,SGD,78878.30,0.00,V0,700100,CC2010,PC3001,ZN14,PO-91962,"Waste disposal 2026-02",PROJECT-ALPHA,"Emergency repair"
INV-2025-04405,V1017,C2008,1000,2025-01-16,2025-01-16,2025-01-17,CHF,68459.42,0.00,V0,400300,CC1050,PC3000,,PO-80655,"Building repairs",IT-REFRESH,"Quarterly invoice"
INV-2025-04406,V1014,C2001,3000,2025-08-03,2025-08-04,2025-08-03,USD,89006.07,6230.42,A1,400500,CC1040,PC2001,ZN45,,"Vehicle leasing 2025-08",PROJECT-EPSILON,"Advance payment"
INV-2025-04407,V1017,C2013,1000,2025-09-29,2025-09-29,2025-10-02,USD,221829.02,44365.80,V3,500100,CC3010,,ZN14,PO-88372,"Parking management",CAPEX-2026,"Annual renewal"
INV-2025-04408,V1001,C2006,3000,2025-01-29,2025-02-01,2025-02-01,SGD,244894.27,0.00,V0,400100,CC2030,PC2001,ZN45,PO-83261,"Subscription fees",PROJECT-GAMMA,"Credit note adjustment"
INV-2025-04409,V1008,C2015,3000,2025-07-31,2025-08-03,2025-08-02,USD,64491.99,0.00,V0,600100,CC1020,PC2002,ZN14,PO-92808,"Lab equipment",MAINT-Q3,"Standard order"
INV-2025-04410,V1014,C2007,1000,2025-11-29,2025-11-30,2025-11-29,EUR,451584.52,67737.68,V3,400100,CC1040,PC2003,ZB02,PO-80842,"Travel expenses",R&D-PHASE1,"Annual renewal"
INV-2025-04411,V1014,C2003,3000,2025-11-20,2025-11-22,2025-11-23,AUD,50211.81,0.00,V0,600100,CC2030,PC2000,ZN90,PO-89395,"Vehicle leasing 2025-11",MKT-CAMPAIGN,"Phase 1 delivery"
INV-2025-04412,V1017,C2015,4000,2025-09-23,2025-09-23,2025-09-24,AUD,63937.85,0.00,V0,400300,CC2020,PC2000,ZN45,PO-87075,"Staff training",R&D-PHASE2,"Debit note"
INV-2026-04413,V1012,C2006,2000,2026-03-13,2026-03-13,2026-03-16,GBP,220627.52,44125.50,V2,400500,CC1040,,ZN45,,"Recruitment costs",MAINT-Q3,"Annual renewal"
INV-2025-04414,V1007,C2007,3000,2025-01-22,2025-01-26,2025-01-22,GBP,302563.47,0.00,V0,400100,CC1020,PC2003,ZB02,PO-87298,"Travel expenses",PROJECT-ALPHA,"Blanket PO release"
INV-2026-04415,V1019,C2004,2000,2026-02-08,2026-02-09,2026-02-11,USD,183874.61,0.00,V0,600100,CC3020,PC2000,ZB02,PO-90541,"Elevator servicing",HR-ONBOARD,"Emergency repair"
INV-2025-04416,,C9999,1000,2025-05-21,2025-05-21,2025-05-24,SGD,467514.55,32726.02,A1,,CCXXX,PC4000,ZN14,,"Contractor payments",MAINT-Q3,"Monthly service fee"
INV-2025-04417,V1016,C2014,2000,2025-09-28,2025-09-28,2025-09-30,EUR,289378.13,0.00,V0,400400,CC1030,PC3000,ZN60,PO-82296,"Printing costs",PROJECT-ZETA,"Quarterly invoice"
INV-2025-04418,V1018,C2011,2000,2025-08-12,2025-08-14,2025-08-15,USD,157019.28,0.00,V0,400300,CC1010,PC4000,ZN30,PO-88070,"Software licences",R&D-PHASE1,"Quarterly invoice"
INV-2025-04419,V1017,C2009,2000,2025-08-13,2025-08-18,2025-08-16,EUR,187061.22,28059.18,A2,600100,CC1030,PC2000,ZN14,PO-83590,"Temporary staffing",OPEX-2026,"Ad-hoc request"
INV-2025-04420,V1012,C2007,4000,2025-06-26,2025-06-30,2025-06-29,EUR,187334.60,9366.73,V3,500300,CC1040,PC3001,ZB02,,"Consulting services",R&D-PHASE2,"Scheduled maintenance"
INV-2025-04421,V1007,C2015,2000,2025-05-31,2025-06-02,2025-06-03,CHF,186200.16,0.00,V0,600200,CC2030,PC2000,ZB02,PO-81033,"Legal advisory",PROJECT-DELTA,"Rework charges"
INV-2025-04422,V1010,C2011,4000,2025-08-04,2025-08-07,2025-08-05,GBP,59656.89,2982.84,V1,600100,CC1010,,ZB01,,"Reception services",PROJECT-BETA,"Retainer fee"
INV-2026-04423,V1001,C2014,1000,2026-02-05,2026-02-06,2026-02-06,AUD,489412.28,0.00,V0,400100,CC1020,PC4000,ZN30,PO-92332,"Mail handling 2026-02",OPEX-2026,"Emergency repair"
INV-2025-04424,V1019,C2014,2000,2025-01-13,2025-01-16,2025-01-15,CHF,228156.54,0.00,V0,500300,CC3010,PC4000,ZN60,PO-82043,"Vehicle leasing",FACILITIES,"Ad-hoc request"
INV-2025-04425,V1010,C2010,1000,2025-01-19,2025-01-24,2025-01-19,AUD,495057.91,24752.90,V2,400400,CC1030,PC3001,ZN60,PO-98339,"Catering services 2025-01",PROJECT-BETA,"Quality inspection"
INV-2025-04426,V1002,C2011,4000,2025-02-27,2025-03-04,2025-02-27,EUR,292825.82,29282.58,V3,500200,CC1010,PC2002,ZN45,PO-99330,"Cloud hosting fees",PROJECT-ALPHA,"Scheduled maintenance"
INV-2025-04427,V1011,C2005,3000,2025-08-30,2025-09-04,2025-09-02,EUR,1204.25,120.43,V1,700200,CC1050,PC4000,ZB01,PO-93053,"Energy costs 2025-08",PROJECT-GAMMA,"Service completion"
INV-2025-04428,V1019,C2010,1000,2025-01-09,2025-01-11,2025-01-11,CHF,467681.84,23384.09,V2,600100,CC1040,PC2000,ZN90,PO-86045,"Water treatment",IT-REFRESH,"Rework charges"
INV-2026-04429,V1001,C2013,4000,2026-01-20,2026-01-22,2026-01-21,SGD,397525.42,59628.81,V1,700200,CC1050,PC2001,,PO-92451,"Marketing materials 2026-01",FACILITIES,"Early payment discount"
INV-2025-02750,V1001,C2010,2000,2025-06-11,2025-06-12,2025-06-11,GBP,198240.00,0.00,V0,400200,CC1010,,ZB02,PO-96170,"Staff training 2025-06",OPEX-2026,"Emergency repair"
INV-2025-04431,V1017,C2008,4000,2025-10-22,2025-10-22,2025-10-25,GBP,332397.56,16619.88,A2,600200,CC1030,PC3000,ZB02,PO-99324,"Facilities maintenance",R&D-PHASE2,"Ad-hoc request"
INV-2025-04432,V1006,C2008,1000,2025-04-11,2025-04-12,2025-04-13,GBP,200270.95,30040.64,V1,400100,CC1020,,ZB02,PO-90920,"Hardware procurement 2025-04",MAINT-Q1,"Quarterly invoice"
INV-2025-04433,V1008,C2006,3000,2025-03-21,2025-03-25,2025-03-24,CAD,343951.26,34395.13,A1,400500,CC2010,PC2002,ZB02,PO-91821,"Office supplies",MKT-CAMPAIGN,"Annual renewal"
INV-2025-04434,V1011,C2004,1000,2025-01-01,2025-01-04,2025-01-03,CHF,397860.36,27850.23,V1,400100,CC1040,PC2002,ZB01,PO-87164,"Server equipment",MAINT-Q1,"Advance payment"
INV-2025-04435,V1020,C2003,4000,2025-12-12,2025-12-17,2025-12-14,CHF,65365.11,3268.26,A1,400500,CC2010,,ZN90,PO-92827,"Elevator servicing",PROJECT-BETA,"Full delivery"
INV-2025-04436,V1011,C2009,3000,2025-01-16,2025-01-18,2025-01-18,USD,309721.99,61944.40,A2,600200,CC1030,PC2003,ZB02,PO-98554,"Parking management",R&D-PHASE1,"Rebate claim"
INV-2025-04437,V1020,C2004,3000,2025-06-06,2025-06-11,2025-06-07,EUR,186553.83,18655.38,V1,500100,CC1040,PC2003,,PO-81983,"Elevator servicing 2025-06",PROJECT-GAMMA,"Volume discount"
INV-2025-04438,V1018,C2010,4000,2025-02-05,2025-02-10,2025-02-06,CHF,402882.30,0.00,V0,400500,CC1050,PC2003,ZB01,PO-93683,"Fire safety inspection 2025-02",PROJECT-THETA,"Annual renewal"
INV-2025-04439,V1016,C2010,3000,2025-02-25,2025-02-27,2025-02-25,EUR,416765.53,29173.59,V1,700200,CC2020,PC3000,ZN30,,"Security services",R&D-PHASE1,"Early payment discount"
INV-2025-04440,V1012,C2002,1000,2025-07-18,2025-07-23,2025-07-20,GBP,143847.27,28769.45,V2,700100,CC2010,PC3000,ZB01,PO-92167,"Consulting services",MAINT-Q3,"Retainer fee"
INV-2025-04441,V1012,C2002,1000,2025-12-17,2025-12-22,2025-12-19,CHF,103379.53,0.00,V0,500300,CC2010,PC2000,ZB01,PO-86477,"Research materials",OPEX-2026,"Phase 2 delivery"
INV-2025-04442,V1004,C2013,3000,2025-04-05,2025-04-05,2025-04-08,CHF,483143.89,96628.78,V3,500100,CC2010,,,PO-87783,"Research materials",HR-ONBOARD,"Advance payment"
INV-2025-04443,V1012,C2002,2000,2025-12-12,2025-12-15,2025-12-15,CAD,444852.90,31139.70,V2,700200,CC3010,PC2002,ZN45,PO-93981,"Annual licence renewal 2025-12",PROJECT-EPSILON,"Late delivery penalty"
INV-2025-00244,V1003,C2008,1000,2026-02-24,2026-02-24,2026-02-26,JPY,192996.86,0.00,V0,500200,CC2010,PC3001,,PO-86600,"Energy costs 2026-02",OPEX-2026,"Service completion"
INV-2025-04445,V1017,C2015,2000,2025-09-25,2025-09-30,2025-09-25,CHF,266838.34,0.00,V0,400100,CC1020,PC2003,ZN60,PO-84871,"Landscaping",R&D-PHASE1,"Commission payment"
INV-2025-04446,V1002,C2002,1000,2025-10-25,2025-10-28,2025-10-27,JPY,243553.55,36533.03,V2,500300,CC1010,PC2002,ZN30,PO-94825,"Data centre costs 2025-10",MAINT-Q4,"Partial delivery"
INV-2026-04447,V1006,C2011,1000,2026-02-18,2026-02-23,2026-02-18,AUD,377851.20,56677.68,A2,400300,CC2020,PC4000,ZN60,PO-99843,"Lab equipment 2026-02",R&D-PHASE2,"Project milestone payment"
INV-2025-04448,V1011,C2010,1000,2025-12-27,2025-12-30,2025-12-28,JPY,268491.26,0.00,V0,400100,CC1050,,ZN45,PO-93198,"Safety equipment",FACILITIES,"Full delivery"
INV-2025-04449,V1003,C2008,3000,2025-08-24,2025-08-25,2025-08-26,CAD,300519.65,21036.38,V2,600200,CC1010,PC2002,ZN14,PO-98502,"Pest control",PROJECT-DELTA,"One-time purchase"
INV-2025-04450,V1019,C2015,3000,2025-04-05,2025-04-06,2025-04-05,JPY,243910.00,12195.50,V2,500300,CC2030,,,PO-96665,"Fire safety inspection 2025-04",PROJECT-ALPHA,"Commission payment"
INV-2025-04451,V1016,C2010,4000,2025-10-19,2025-10-24,2025-10-22,GBP,236907.35,0.00,V0,500200,CC3010,PC2003,ZN45,PO-85900,"Legal advisory",MKT-CAMPAIGN,"One-time purchase"
INV-2025-04452,V1002,C2009,1000,2025-08-06,2025-08-07,2025-08-08,CAD,149009.38,14900.94,V2,500100,CC1040,,ZB02,PO-85305,"Travel expenses",MAINT-Q4,"Quarterly invoice"
INV-2025-04453,V1007,C2011,1000,2025-10-23,2025-10-23,2025-10-23,EUR,196699.75,0.00,V0,400500,CC3020,PC2001,ZN14,PO-99775,"Lab equipment",PROJECT-DELTA,"Service completion"
INV-2025-04454,V1008,C2014,3000,2025-10-11,2025-10-14,2025-10-12,GBP,320188.29,22413.18,V2,500300,CC2010,PC2000,,PO-81664,"Telecommunications 2025-10",R&D-PHASE1,"Advance payment"
INV-2025-04455,V1006,C2004,3000,2025-11-21,2025-11-23,2025-11-23,CAD,419936.09,0.00,V0,500200,CC1030,PC2002,ZN14,PO-98478,"Subscription fees",FACILITIES,"Late delivery penalty"
INV-2026-04456,V1008,C2009,3000,2026-01-07,2026-01-08,2026-01-08,SGD,125845.55,12584.56,V2,500100,CC3020,PC2001,ZB01,,"Legal advisory 2026-01",PROJECT-THETA,"Project milestone payment"
INV-2025-04457,V1020,C2004,3000,2025-04-07,2025-04-07,2025-04-09,CAD,171952.93,0.00,V0,400400,CC1010,PC3001,ZB01,PO-84877,"Software licences",PROJECT-EPSILON,"Debit note"
INV-2025-04458,V1010,C2008,4000,2025-03-24,2025-03-27,2025-03-26,JPY,150413.56,0.00,V0,700100,CC2030,PC3001,ZN90,PO-94698,"Facilities maintenance",OPEX-2026,"Blanket PO release"
INV-2025-04459,V1015,C2011,4000,2025-03-10,2025-03-12,2025-03-11,EUR,154497.21,23174.58,A1,500100,CC1040,PC4000,,PO-87490,"Marketing materials",PROJECT-GAMMA,"Debit note"
INV-2025-04460,V1003,C2009,3000,2025-07-31,2025-08-04,2025-08-01,SGD,417558.87,62633.83,V1,400500,CC1030,PC4000,ZN45,PO-84050,"Water treatment",PROJECT-GAMMA,"Scheduled maintenance"
INV-2026-04461,V1011,C2008,4000,2026-01-19,2026-01-20,2026-01-21,SGD,131041.10,0.00,V0,400100,CC2030,PC2003,ZN60,PO-84221,"Catering services",CAPEX-2026,"Phase 1 delivery"
INV-2025-04462,V1007,C2004,2000,2025-06-27,2025-07-02,2025-06-29,AUD,131884.32,9231.90,V3,700200,CC2030,PC2001,ZN45,PO-85438,"Mail handling",HR-ONBOARD,"Credit note adjustment"
INV-2025-04463,V1015,C2004,2000,2025-04-10,2025-04-15,2025-04-10,CAD,480112.82,0.00,V0,400100,CC3020,PC2001,ZN30,PO-90830,"Travel expenses",R&D-PHASE1,"Project milestone payment"
INV-2025-01060,V1009,C2005,4000,2026-01-15,2026-01-17,2026-01-16,SGD,378277.28,75655.46,V2,400400,CC1020,PC3001,ZN90,PO-95401,"Staff training",MAINT-Q1,"Emergency repair"
INV-2026-04465,V1012,C2013,4000,2026-03-06,2026-03-06,2026-03-08,GBP,239761.85,0.00,V0,400300,CC1030,,,PO-95563,"Data centre costs",IT-REFRESH,"Credit note adjustment"
INV-2025-04466,V1009,C2009,3000,2025-08-15,2025-08-18,2025-08-15,CAD,188890.80,13222.36,A1,400400,CC1010,PC2001,ZN90,,"Energy costs",PROJECT-ETA,"Commission payment"
INV-2025-04467,,C2008,3000,2025-10-17,2025-10-22,2025-10-19,AUD,226693.26,11334.66,V3,000000,CC0000,,ZN90,PO-87437,"Waste disposal",PROJECT-DELTA,"Credit note adjustment"
INV-2025-04468,V1016,C2002,4000,2025-10-14,2025-10-15,2025-10-15,USD,338738.94,50810.84,V1,400100,CC3010,PC3000,ZN90,,"Energy costs",HR-ONBOARD,"Retainer fee"
INV-2025-04469,V1004,C2015,4000,2025-09-22,2025-09-23,2025-09-22,GBP,167677.15,8383.86,A1,500100,CC3020,PC2000,ZN14,PO-85242,"Printing costs 2025-09",FACILITIES,"Credit note adjustment"
INV-2026-04470,V1020,C2013,4000,2026-01-17,2026-01-18,2026-01-19,SGD,328833.00,32883.30,A2,500200,CC1020,PC3001,ZN14,,"Water treatment",PROJECT-EPSILON,"Rework charges"
INV-2025-04471,V1019,C2010,1000,2025-06-18,2025-06-23,2025-06-19,AUD,198045.88,39609.18,A1,400500,CC1040,PC2003,ZN14,PO-95313,"Water treatment",PROJECT-BETA,"Ad-hoc request"
INV-2025-04472,V1015,C2012,1000,2025-02-05,2025-02-10,2025-02-05,CAD,256930.49,25693.05,A2,500100,CC1010,PC3001,ZN30,PO-87759,"Audit fees",PROJECT-ALPHA,"Commission payment"
INV-2026-04473,V1019,C2008,4000,2026-02-20,2026-02-24,2026-02-20,SGD,58445.73,2922.29,V2,400400,CC1040,PC2001,ZN45,PO-97668,"Lab equipment 2026-02",R&D-PHASE2,"Service completion"
INV-2025-04439,V1020,C2012,4000,2025-05-06,2025-05-10,2025-05-06,AUD,56415.67,8462.35,A2,400200,CC1010,PC4000,,PO-94679,"Water treatment",PROJECT-ALPHA,"Standard order"
INV-2025-04475,V1007,C2003,2000,2025-09-08,2025-09-09,2025-09-10,SGD,105808.38,5290.42,A1,400500,CC1050,PC2000,ZB02,PO-82435,"HVAC maintenance 2025-09",MKT-CAMPAIGN,"Ad-hoc request"
INV-2025-04476,V1016,C2003,1000,2025-04-04,2025-04-09,2025-04-05,GBP,348178.55,24372.50,V1,400500,CC1040,PC3000,ZB02,PO-93639,"Consulting services",PROJECT-ZETA,"Scheduled maintenance"
INV-2026-04477,V1014,C2013,1000,2026-02-25,2026-02-28,2026-02-28,SGD,252143.25,0.00,V0,500100,CC1040,PC4000,ZB01,,"Server equipment 2026-02",PROJECT-ETA,"Annual renewal"
INV-2026-04478,V1019,C2011,2000,2026-01-13,2026-01-13,2026-01-14,USD,237631.27,47526.25,V2,600100,CC3020,PC2002,ZN30,PO-91779,"HVAC maintenance 2026-01",PROJECT-ETA,"Progress billing"
INV-2025-04479,V1010,C2011,3000,2025-05-21,2025-05-21,2025-05-24,AUD,231449.20,0.00,V0,500200,CC1010,PC2001,ZN14,PO-86665,"Mail handling",OPEX-2026,"Rebate claim"
INV-2025-01218,V1008,C2015,1000,2025-08-06,2025-08-10,2025-08-06,USD,362604.79,54390.72,A2,500200,CC1040,PC3000,ZN30,PO-80793,"Office supplies 2025-08",PROJECT-ALPHA,"Project milestone payment"
INV-2026-04481,V1020,C2007,2000,2026-02-08,2026-02-09,2026-02-08,SGD,65342.33,0.00,V0,400200,CC2010,,ZN14,PO-86225,"Water treatment",MAINT-Q4,"Rework charges"
INV-2025-04482,V1002,C2009,2000,2025-11-21,2025-11-21,2025-11-21,SGD,74636.69,11195.50,V2,500100,CC3010,PC4000,ZB02,,"Staff training",MAINT-Q2,"Commission payment"
INV-2025-04483,V1009,C2003,1000,2025-05-10,2025-05-12,2025-05-11,JPY,491258.48,49125.85,V1,600100,CC2010,PC3000,ZN30,PO-93680,"Travel expenses",PROJECT-EPSILON,"Monthly service fee"
INV-2025-04484,V1005,C2005,4000,2025-07-06,2025-07-07,2025-07-07,SGD,200890.86,10044.54,V2,400300,CC2010,PC3001,ZN60,PO-88113,"Server equipment",MAINT-Q2,"Commission payment"
INV-2026-04485,V1003,C2001,1000,2026-02-13,2026-02-18,2026-02-14,CAD,298005.58,0.00,V0,700100,CC2020,PC4000,ZN30,PO-83345,"Consulting services",MKT-CAMPAIGN,"Debit note"
INV-2026-04486,V1002,C2007,2000,2026-03-13,2026-03-18,2026-03-16,JPY,104741.23,15711.18,V2,500300,CC1020,PC3001,ZN90,PO-80261,"Equipment rental 2026-03",MAINT-Q3,"Ad-hoc request"
